name,position_desc
TEG02-开放光网络系统硬件（信号完整性）测试工程师,"硕士及以上学历，5年通信网络设备硬件测试和信号完整性设计仿真经历；
熟悉硬件设计和测试方法流程， 如电源，时钟电路，时序，接口电路等；
具有高速电路、射频相关方向的信号完整性与封装设计相关经验；
熟悉常用的电路设计、信号完整性分析仿真相关软件；
熟悉硬件原理图，PCB版图设计，连接器及PCB生产工艺；
熟练使用硬件测试仪器仪表，如示波器、频谱仪、综测仪、可编程电源；
熟悉通用硬件接口协议，如PCIe, SGMII, I2C, SPI, MDIO 等；
动手能力和学习能力强，有团队合作精神；
具有光传输网络设备研发经验者优先；
具有以太网，通信网络协议知识者优先；"
18425-通讯业务测试工程师,"1、计算机或其他相关专业本科以上学历；
2、熟悉linux操作，能熟练阅读C/C++/Java等产品代码，熟练掌握一门编程语言；
3、熟练掌握测试分析方法和用例设计，有白盒测试经验者优先；
4、具备支付、互联网金融等业务领域测试经验者优先；
5、具备自动化测试和工具开发经历者优先；
6. 有较强的逻辑思维能力，有技术攻关不断钻研的能力，善于沟通与协作，具备良好的团队精神。
"
CSIG17-AI系统高级测试工程师,"1、本科及以上学历，计算机或软件相关专业，具备扎实的计算机和软件技术基础；
2、有扎实的测试基础，能独立负责一个产品线的测试工作；
3、有良好的学习能力和技术钻研能力，具有自我持续优化的驱动力，具有发现问题的灵敏嗅觉，具备针对复杂问题的分析和解决的能力；
4、具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；
5、有ToB相关质量管理经验和较强项目管理能力者优先；
6、有相关的自动化测试、专项测试或白盒测试工具和平台建设者优先。"
CSIG17-腾讯云行业高级测试工程师（深圳/广州）,"1、计算机本科及以上相关专业5年以上工作经验，有TOB业务的测试经验、专项测试或测试开发经验者优先；
2、熟练掌握Python/Go/C/C++等至少一种编程语言；
3、有相关自动化测试、专项测试或测试工具平台建设者优先；
4、有性能测试、渗透性测试经验优先；
5、有图形图像算法/机器学习/深度学习等任意一个方向的开发或测试经验优先；
6、具备良好的团队合作精神，善于沟通协调，具备较高的问题推动解决能力；
7、有不错的工作抗压能力，富有激情，责任心强，做事公正客观。"
CSIG17-腾讯云容器高级测试工程师（成都/深圳）,"3年以上测试经验，较强的编码能力，测试过大型系统优先；
熟悉 Docker/Kubernetes/Swarm/Mesos 等技术；
熟悉 C/C++/Go/Java/Python/Ruby/Shell 等至少二种编程语言； 
熟悉 AWS/Google Cloud 等云计算厂商产品优先；
责任感强，具备良好的沟通能力和抗压能力。"
CSIG17-大数据高级测试工程师（成都/深圳/北京）,"本科以上学历，3年以上大数据相关的开发/测试经验或对大数据有浓厚兴趣者优先考虑；
熟悉大数据相关组件，包括spark,hive,es,clickhouse等，有spark，hive等调优经验者优先；
有大数据集群部署经验优先，有丰富大数据场景经验，问题快速定位跟踪者优先。
有数据湖相关开发测试经验者优先；
有python，java等编写经验者优先；
具备良好的团队合作精神，善于协调沟通，具备较强的问题定位和推动解决能力；
具备较强的抗压能力，能面对大数据的机遇与挑战，在较大压力下保持工作激情。"
TEG05-高级测试工程师（深圳）,"大学本科或以上学历，计算机相关专业，3年以上测试经验；
精通至少1种编程语言，如：Java/C/C++/Shell/python等，Python优先；
熟悉持续集成流程，参加过自动化测试体系构建，有丰富的测试框架、测试平台工具开发应用经验。在流程自动化、持续集成、流水线建设、开发调试工具、框架设计或分布式系统等领域中有实践经验者优先；
善于沟通、对技术有强烈的好奇心；有良好的团队合作能力，有强烈的主人翁意识推进事务进展。"
WXG07-154 广州研发部系统测试工程师（广州）,"1.本科（含）以上学历，1年或1年以上软件测试或开发经验，精通软件测试理论和方法，熟悉主流测试框架和工具；
2.熟悉Linux、Tcp/Ip、HTTP网络协议相关知识;熟练掌握C/C++、java、python、shell其中一到两种开发语言；
3.具备较强的沟通推动能力、项目管理与风险把控能力；
4.有开发经验/性能调优经验者优先;"
22989-专有云POC高级测试工程师（成都/深圳）,"1、本科及以上学历，5年及以上IT工作经验，具备独立POC和项目交付能力；
2、熟悉云计算产品体系，熟悉专有云POC流程，熟悉虚拟化架构及云平台系统的维护管理技术，具有丰富的企业架构设计或云服务集成实施经验优先；
3、熟悉典型的云服务体系和模式，熟悉业界典型的云架构、kvm虚拟化技术、容器技术、虚拟网络技术、分布式存储技术、关系型数据库优先；
4、具有良好的沟通和组织协调能力，具有较强的需求分析和引导应变能力，学习和抗压能力强。 通过腾讯云从业资格证或同等资格认证的优先录取"
18427-测试工程师（腾讯中金合资技术公司）（深圳）,"1、全日制本科及以上学历，3年及以上测试工作经验； 
2、熟悉Unix/Linux工作环境，至少掌握一门常用脚本语言(如python等)； 
3、熟练掌握常用数据库操作，最好有mysql经验；
4、熟悉一门高级编程语言，要求至少可以参加代码检视，有C/C++经验优先，有性能测试经验者优先； 了解自动化测试思想，有自动化测试经验者优先；
5、有互联网软件工作经验，了解互联网行业，有金融、证券或支付系统测试经验者优先。

【腾讯中金合资技术公司介绍】 腾讯中金合资技术公司（以下简称“合资技术公司”）是中国国际金融股份有限公司（以下简称“中金公司”）与腾讯数码(深圳)有限公司（以下简称“腾讯”）合资成立的技术公司，是响应国家和监管部门发展金融科技的号召及要求，把握财富管理领域数字化发展的重大机遇，基于强强联合的一次创新与探索。
合资技术公司将通过提供技术平台开发及数字化运营支持，助力中金财富管理和零售经纪等业务提供更加便利化、智能化、差异化的财富管理解决方案，提升投顾服务效率，优化精准营销，强化合规风控，以数字化和金融科技能力推动中金财富管理业务加快转型及实现规模化发展。
未来在可行情况下，合资技术公司将探索向其他金融机构开放服务的可能性。
"
